dimension,k,tau,R2,t0,M0,Mend
x,0.14410475518894728,2.0000000000000004,0.7966634451969083,2.0,0.0086325252796804,0.6923950060817522
y,0.14051751346980237,2.0000000000000004,0.7063393001668883,2.0,0.0060332370158958,0.6847891426313814
z,1.830126366225751,2.0000000000000004,0.94637764234098,2.0,0.1345406309758013,0.9978639493178908
r,0.5394692074982352,2.0000000000000004,0.9250153330605115,2.0,0.0849568607120406,0.9726257088034572
